timestamp,archive_url,status,distrito,barrio,precio_medio
"2025-01-24 10:54:14,https://web.archive.org/web/20250124105414/https://www.idealista.com/alquiler-viviendas/sevilla/macarena/doctor-fedriani/,200,macarena,doctor-fedriani,""11,96"""
"2024-04-06 13:41:37,https://web.archive.org/web/20240406134137/https://www.idealista.com/alquiler-viviendas/sevilla/macarena/parlamento-torneo/,200,macarena,parlamento-torneo,""12,98"""
"2024-05-11 12:40:06,https://web.archive.org/web/20240511124006/https://www.idealista.com/alquiler-viviendas/sevilla/macarena/parlamento-torneo/,200,macarena,parlamento-torneo,""12,79"""
"2024-07-17 04:42:42,https://web.archive.org/web/20240717044242/https://www.idealista.com/alquiler-viviendas/sevilla/macarena/parlamento-torneo/,200,macarena,parlamento-torneo,""11,98"""
"2024-08-28 19:06:45,https://web.archive.org/web/20240828190645/https://www.idealista.com/alquiler-viviendas/sevilla/macarena/parlamento-torneo/,200,macarena,parlamento-torneo,""12,67"""
"2024-11-19 22:50:25,https://web.archive.org/web/20241119225025/https://www.idealista.com/alquiler-viviendas/sevilla/macarena/parlamento-torneo/,200,macarena,parlamento-torneo,""11,75"""
"2025-01-24 12:20:22,https://web.archive.org/web/20250124122022/https://www.idealista.com/alquiler-viviendas/sevilla/macarena/parlamento-torneo/,200,macarena,parlamento-torneo,""12,39"""
"2024-04-06 20:05:32,https://web.archive.org/web/20240406200532/https://www.idealista.com/alquiler-viviendas/sevilla/macarena/pio-xii/,200,macarena,pio-xii,""10,47"""
"2024-05-14 23:43:45,https://web.archive.org/web/20240514234345/https://www.idealista.com/alquiler-viviendas/sevilla/macarena/pio-xii/,200,macarena,pio-xii,""12,52"""
"2024-07-17 10:53:11,https://web.archive.org/web/20240717105311/https://www.idealista.com/alquiler-viviendas/sevilla/macarena/pio-xii/,200,macarena,pio-xii,""10,62"""
"2024-08-26 20:25:30,https://web.archive.org/web/20240826202530/https://www.idealista.com/alquiler-viviendas/sevilla/macarena/pio-xii/,200,macarena,pio-xii,""9,72"""
"2024-09-19 11:59:32,https://web.archive.org/web/20240919115932/https://www.idealista.com/alquiler-viviendas/sevilla/macarena/pio-xii/,200,macarena,pio-xii,""10,54"""
"2024-11-23 09:55:11,https://web.archive.org/web/20241123095511/https://www.idealista.com/alquiler-viviendas/sevilla/macarena/pio-xii/,200,macarena,pio-xii,""10,60"""
"2024-04-08 18:06:33,https://web.archive.org/web/20240408180633/https://www.idealista.com/alquiler-viviendas/sevilla/macarena/los-carteros-san-diego/,200,macarena,los-carteros-san-diego,""10,17"""
"2024-07-17 04:39:00,https://web.archive.org/web/20240717043900/https://www.idealista.com/alquiler-viviendas/sevilla/macarena/los-carteros-san-diego/,200,macarena,los-carteros-san-diego,""7,32"""
"2024-09-17 14:14:46,https://web.archive.org/web/20240917141446/https://www.idealista.com/alquiler-viviendas/sevilla/macarena/los-carteros-san-diego/,200,macarena,los-carteros-san-diego,""8,97"""
"2024-12-08 11:14:15,https://web.archive.org/web/20241208111415/https://www.idealista.com/alquiler-viviendas/sevilla/macarena/los-carteros-san-diego/,200,macarena,los-carteros-san-diego,""7,27"""
"2024-05-11 12:18:04,https://web.archive.org/web/20240511121804/https://www.idealista.com/alquiler-viviendas/sevilla/san-jeronimo/san-jeronimo/,200,san-jeronimo,san-jeronimo,""8,84"""
"2024-07-17 15:55:55,https://web.archive.org/web/20240717155555/https://www.idealista.com/alquiler-viviendas/sevilla/san-jeronimo/san-jeronimo/,200,san-jeronimo,san-jeronimo,""10,86"""
"2024-08-28 09:21:19,https://web.archive.org/web/20240828092119/https://www.idealista.com/alquiler-viviendas/sevilla/san-jeronimo/san-jeronimo/,200,san-jeronimo,san-jeronimo,""9,19"""
"2024-10-04 11:50:05,https://web.archive.org/web/20241004115005/https://www.idealista.com/alquiler-viviendas/sevilla/san-jeronimo/san-jeronimo/,200,san-jeronimo,san-jeronimo,""9,80"""
"2025-01-14 15:21:26,https://web.archive.org/web/20250114152126/https://www.idealista.com/alquiler-viviendas/sevilla/san-jeronimo/san-jeronimo/,200,san-jeronimo,san-jeronimo,""10,25"""
"2024-05-15 00:04:13,https://web.archive.org/web/20240515000413/https://www.idealista.com/alquiler-viviendas/sevilla/la-palmera-los-bermejales/bami-pineda/,200,la-palmera-los-bermejales,bami-pineda,""10,99"""
"2024-07-17 05:32:11,https://web.archive.org/web/20240717053211/https://www.idealista.com/alquiler-viviendas/sevilla/la-palmera-los-bermejales/bami-pineda/,200,la-palmera-los-bermejales,bami-pineda,""11,62"""
"2024-08-22 10:25:49,https://web.archive.org/web/20240822102549/https://www.idealista.com/alquiler-viviendas/sevilla/la-palmera-los-bermejales/bami-pineda/,200,la-palmera-los-bermejales,bami-pineda,""11,60"""
"2024-09-17 10:27:39,https://web.archive.org/web/20240917102739/https://www.idealista.com/alquiler-viviendas/sevilla/la-palmera-los-bermejales/bami-pineda/,200,la-palmera-los-bermejales,bami-pineda,""11,41"""
"2024-12-16 22:22:32,https://web.archive.org/web/20241216222232/https://www.idealista.com/alquiler-viviendas/sevilla/la-palmera-los-bermejales/bami-pineda/,200,la-palmera-los-bermejales,bami-pineda,""12,50"""
"2025-01-23 18:46:54,https://web.archive.org/web/20250123184654/https://www.idealista.com/alquiler-viviendas/sevilla/la-palmera-los-bermejales/bami-pineda/,200,la-palmera-los-bermejales,bami-pineda,""11,64"""
"2024-02-24 23:13:03,https://web.archive.org/web/20240224231303/https://www.idealista.com/alquiler-viviendas/sevilla/la-palmera-los-bermejales/palmas-altas/,200,la-palmera-los-bermejales,palmas-altas,""8,11"""
"2024-03-19 18:16:44,https://web.archive.org/web/20240319181644/https://www.idealista.com/alquiler-viviendas/sevilla/la-palmera-los-bermejales/reina-mercedes-heliopolis/,200,la-palmera-los-bermejales,reina-mercedes-heliopolis,""11,31"""
"2024-07-17 04:37:39,https://web.archive.org/web/20240717043739/https://www.idealista.com/alquiler-viviendas/sevilla/la-palmera-los-bermejales/reina-mercedes-heliopolis/,200,la-palmera-los-bermejales,reina-mercedes-heliopolis,""12,54"""
